title,name,date,english metadata,source,text
"

Собачье сердце

 ","Булгаков, Михаил
", 1,"

Mikhail Bulgakov, A Dog’s Heart, 1924


 ","

http://bulgakov.lit-info.ru/bulgakov/proza/sobache-serdce/serdce-1.htm

 ","Булгаков , Михаил "
"

Собачье сердце

 ","Булгаков, Михаил
", 2,"

Mikhail Bulgakov, A Dog’s Heart, 1924


 ","

http://bulgakov.lit-info.ru/bulgakov/proza/sobache-serdce/serdce-1.htm

 ",", дорогой профессор , только в виде опыта . - Ну , и что же ? Какие результаты ? - Строго спросил Филипп Филиппович . Субьект в экстазе махнул рукой . - 25 Лет , клянусь богом , профессор , ничего подобного . Последний раз в 1899-м году в париже на рю де ла пэ . - А почему вы позеленели ? Лицо пришельца затуманилось . - Проклятая жиркость ! ( `` Жиркость '' - сов . учреждение по изготовлению косметических средств ) . Вы не можете себе представить , профессор , что эти бездельники подсунули мне вместо краски . Вы только поглядите , бормотал субьект , ища глазами зеркало . - Им морду нужно бить ! - Свирепея , добавил он . - Что же мне теперь делать , профессор ? - Спросил он плаксиво . - Хм , обрейтесь наголо . - Профессор , - жалобно восклицал посетитель , - да ведь они опять седые вырастут . Кроме того , мне на службу носа нельзя будет показать , я и так уже третий день не езжу . Эх , профессор , если бы вы открыли способ , чтобы и волосы омолаживать ! - Не сразу не сразу , мой дорогой , - бормотал Филипп Филиппович . Наклоняясь , он блестящими глазами исследовал голый живот пациента : - Ну , что ж , - прелестно , все в полном порядке . Я даже не ожидал , сказать по правде , такого результата . `` Много крови , много песен ... '' . Одевайтесь , голубчик ! - `` Я же той , что всех прелестней ! .. '' - Дребезжащим , как сковорода , голосом подпел пациент и , сияя , стал одеваться . Приведя себя в порядок , он , подпрыгивая и распространяя запах духов , отсчитал Филиппу Филипповичу пачку белых денег и нежно стал жать ему обе руки . - Две недели можете не показываться , - сказал Филипп Филиппович , - но все-таки прошу вас : будьте осторожны . - Профессор ! - Из-за двери в экстазе воскликнул голос , - будьте совершенно спокойны , - он сладостно хихикнул и пропал . Рассыпной звонок пролетел по квартире , лакированная дверь открылась , вошел тяпнутый , вручил Филиппу Филипповичу листок и заявил : - Годы показаны неправильно . Вероятно , 54-55 . Тоны сердца глуховаты . Он исчез и сменился шуршащей дамой в лихо заломленной набок шляпе и со сверкающим колье на вялой и жеваной шее . Странные черные мешки висели у нее под глазами , а щеки были кукольно-румяного цвета . Она сильно волновалась . - Сударыня ! Сколько вам лет ? - Очень сурово спросил ее Филипп Филиппович . Дама испугалась и даже побледнела под коркой румян . - Я , профессор , клянусь , если бы вы знали , какая у меня драма ! .. - Лет вам сколько , сударыня ? - Еще суровее повторил Филипп Филиппович . - Честное слово.. Ну , сорок пять ... - Сударыня , - возопил Филипп Филиппович , - меня ждут . Не задерживайте , пожалуйста . Вы же не одна ! Грудь дамы бурно вздымалась . - Я вам одному , как светилу науки . Но клянусь - это такой ужас ... - Сколько вам лет ? - Яростно и визгливо спросил Филипп Филиппович и очки его блеснули . - Пятьдесят один ! - Корчась со страху ответила дама . - Снимайте штаны , сударыня , - облегченно молвил Филипп Филиппович и указал на высокий белый эшафот в углу . - Клянусь , профессор , - бормотала дама , дрожащими пальцами расстегивая какие-то кнопки на поясе , - этот мориц ... Я вам признаюсь , как на духу ... - `` От севильи до гренады ... '' - Рассеянно запел Филипп Филиппович и нажал педаль в мраморном умывальнике . Зашумела вода . - Клянусь богом ! - Говорила дама и живые пятна сквозь искусственные продирались на ее щеках , - я знаю - это моя последняя страсть . Ведь это такой негодяй ! О , профессор ! Он карточный шулер , это знает вся москва . Он не может пропустить ни одной гнусной модистки . Ведь он так дьявольски молод . - Дама бормотала и выбрасывала из-под шумящих юбок скомканный кружевной клок . Пес совершенно затуманился и все в голове у него пошло кверху ногами . Ну вас к черту , - мутно подумал он , положив голову на лапы и задремав от стыда , - и стараться не буду понять , что это за штука - все равно не пойму . Очнулся он от звона и увидел , что Филипп Филиппович швырнул в таз какие-то сияющие трубки . Пятнистая дама , прижимая руки к груди , с надеждой глядела на Филиппа Филипповича . Тот важно нахмурился и , сев за стол , что-то записал . - Я вам , сударыня , вставляю яичники обезьяны , - обьявил он и посмотрел строго . - Ах , профессор , неужели обезьяны ? - Да , - непреклонно ответил Филипп Филиппович . - Когда же операция ? - Бледнея и слабым голосом спрашивала дама . - `` От севильи до гренады ... '' Угм ... В понедельник . Ляжете в клинику с утра . Мой ассистент приготовит вас . - Ах , я не хочу в клинику . Нельзя ли у вас , профессор ? - Видите ли , у себя я делаю операции лишь в крайних случаях . Это будет стоить очень дорого - 50 червонцев . - Я согласна , профессор ! Опять загремела вода , колыхнулась шляпа с перьями , потом появилась лысая , как тарелка , голова и обняла Филиппа Филипповича . Пес дремал , тошнота прошла , пес наслаждался утихшим боком и теплом , даже всхрапнул и успел увидеть кусочек приятного сна : будто бы он вырвал у совы целый пук перьев из хвоста ... Потом взволнованный голос тявкнул над головой . - Я слишком известен в москве , профессор . Что же мне делать ? - Господа , - возмущенно кричал Филипп Филиппович , - нельзя же так . Нужно сдерживать себя . Сколько ей лет ? - Четырнадцать , профессор ... Вы понимаете , огласка погубит меня . На днях я должен получить заграничную командировку . - Да ведь я же не юрист , голубчик ... Ну , подождите два года и женитесь на ней . - Женат я , профессор . - Ах , господа , господа ! Двери открывались , сменялись лица , гремели инструменты в шкафе , и Филипп Филиппович работал , не покладая рук . Похабная квартирка . - Думал пес , но до чего хорошо ! А на какого черта я ему понадобился ? Неужели же жить оставит ? Вот чудак ! Да ведь ему только глазом мигнуть , он таким бы псом обзавелся , что ахнуть ! А может , я и красивый . Видно , мое счастье ! А сова эта дрянь ... Наглая . Окончательно пес очнулся глубоким вечером , когда звоночки прекратились и как раз в то мгновение , когда дверь впустила особенных посетителей . Их было сразу четверо . Все молодые люди и все одеты очень скромно . Этим что нужно ? - Удивленно подумал пес . Гораздо более неприязненно встретил гостей Филипп Филиппович . Он стоял у письменного стола и смотрел на вошедших , как полководец на врагов . Ноздри его ястребиного носа раздувались . Вошедшие топтались на ковре . - Мы к вам , профессор , - заговорил тот из них , у кого на голове возвышалась на четверть аршина копна густейших вьющихся волос , - вот по какому делу ... - Вы , господа , напрасно ходите без калош в такую погоду , - перебил его наставительно Филипп Филиппович , - во-первых , вы простудитесь , а , во-вторых , вы наследили мне на коврах , а все ковры у меня персидские . Тот , с копной , умолк и все четверо в изумлении уставились на Филиппа Филипповича . Молчание продолжалось несколько секунд и прервал его лишь стук пальцев Филиппа Филипповича по расписному деревянному блюду на столе . - Во-первых , мы не господа , - молвил , наконец , самый юный из четверых , персикового вида . - Во-первых , - перебил его Филипп Филиппович , - вы мужчина или женщина ? Четверо вновь смолкли и открыли рты . На этот раз опомнился первый тот , с копной . - Какая разница , товарищ ? - Спросил он горделиво . - Я - женщина , - признался персиковый юноша в кожаной куртке и сильно покраснел . Вслед за ним покраснел почему-то густейшим образом один из вошедших - блондин в папахе . - В таком случае вы можете оставаться в кепке , а вас , милостивый государь , прошу снять ваш головной убор , - внушительно сказал Филипп Филиппович . - Я вам не милостивый государь , - резко заявил блондин , снимая папаху . - Мы пришли к вам , - вновь начал черный с копной . - Прежде всего - кто это мы ? - Мы - новое домоуправление нашего дома , - в сдержанной ярости заговорил черный . - Я - Швондер , она - вяземская , он - товарищ пеструхин и шаровкин . И вот мы ... - Это вас вселили в квартиру Федора Павловича саблина ? - Нас , - ответил Швондер . - Боже , пропал калабуховский дом ! - В отчаянии воскликнул Филипп Филиппович и всплеснул руками . - Что вы , профессор , смеетесь ? - Какое там смеюсь ? ! Я в полном отчаянии , - крикнул Филипп Филиппович , - что же теперь будет с паровым отоплением ? - Вы издеваетесь , профессор Преображенский ? - По какому делу вы пришли ко мне ? Говорите как можно скорее , я сейчас иду обедать . - Мы , управление дома , - с ненавистью заговорил Швондер , - пришли к вам после общего собрания жильцов нашего дома , на котором стоял вопрос об уплотнении квартир дома ... - Кто на ком стоял ? - Крикнул Филипп Филиппович , - потрудитесь излагать ваши мысли яснее . - Вопрос стоял об уплотнении . - Довольно ! Я понял ! Вам известно , что постановлением 12 сего августа моя квартира освобождена от каких бы то ни было уплотнений и переселений ? - Известно , - ответил Швондер , - но общее собрание , рассмотрев ваш вопрос , пришло к заключению , что в общем и целом вы занимаете чрезмерную площадь . Совершенно чрезмерную . Вы один живете в семи комнатах . - Я один живу и работаю в семи комнатах , - ответил Филипп Филиппович , - и желал бы иметь восьмую . Она мне необходима под библиотеку . Четверо онемели . - Восьмую ! Э-хе-хе , - проговорил блондин , лишенный головного убора , однако , это здорово . - Это неописуемо ! - Воскликнул юноша , оказавшийся женщиной . - У меня приемная - заметьте - она же библиотека , столовая , мой кабинет - 3 . Смотровая - 4 . Операционная - 5 . Моя спальня - 6 и комната прислуги - 7 . В общем , не хватает ... Да , впрочем , это неважно . Моя квартира свободна , и разговору конец . Могу я идти обедать ? - Извиняюсь , - сказал четвертый , похожий на крепкого жука . - Извиняюсь , - перебил его Швондер , - вот именно по поводу столовой и смотровой мы и пришли поговорить . Общее собрание просит вас добровольно , в порядке трудовой дисциплины , отказаться от столовой . Столовых нет ни у кого в москве . - Даже у айседоры дункан , - звонко крикнула женщина . С Филиппом Филипповичем что-то сделалось , вследствие чего его лицо нежно побагровело и он не произнес ни одного звука , выжидая , что будет дальше . - И от смотровой также , - продолжал Швондер , - смотровую прекрасно можно соединить с кабинетом . - Угу , - молвил Филипп Филиппович каким-то странным голосом , - а где же я должен принимать пищу ? - В спальне , - хором ответили все четверо . Багровость Филиппа Филипповича приняла несколько сероватый оттенок . - В спальне принимать пищу , - заговорил он слегка придушенным голосом , - в смотровой читать , в приемной одеваться , оперировать в комнате прислуги , а в столовой осматривать . Очень возможно , что айседора дункан так и делает . Может быть , она в кабинете обедает , а кроликов режет в ванной . Может быть . Но я не айседора дункан ! .. - Вдруг рявкнул он и багровость его стала желтой . - Я буду обедать в столовой , а оперировать в операционной ! Передайте это общему собранию и покорнейше вас прошу вернуться к вашим делам , а мне предоставить возможность принять пищу там , где ее принимают все нормальные люди , то-есть в столовой , а не в передней и не в детской . - Тогда , профессор , ввиду вашего упорного противодействия , - Сказал взволнованный Швондер , - мы подадим на вас жалобу в высшие инстанции . - Ага , - молвил Филипп Филиппович , - так ? - И голос его принял подозрительно вежливый оттенок , - одну минуточку попрошу вас подождать . `` Вот это парень , - в восторге подумал пес , - весь в меня . Ох , тяпнет он их сейчас , ох , тяпнет . Не знаю еще - каким способом , но так тяпнет ... Бей их ! Этого голенастого взять сейчас повыше сапога за подколенное сухожилие ... Р-р-р ... '' Филипп Филиппович , стукнув , снял трубку с телефона и сказал в нее так : - Пожалуйста ... Да ... Благодарю вас . Петра Александровича попросите , пожалуйста . Профессор Преображенский . Петр Александрович ? Очень рад , что вас застал . Благодарю вас , здоров . Петр Александрович , ваша операция отменяется . Что ? Совсем отменяется . Равно , как и все остальные операции . Вот почему : я прекращаю работу в москве и вообще в россии ... Сейчас ко мне вошли четверо , из них одна женщина , переодетая мужчиной , и двое вооруженных револьверами и терроризировали меня в квартире с целью отнять часть ее . - Позвольте , профессор , - начал Швондер , меняясь в лице . - Извините ... У меня нет возможности повторить все , что они говорили . Я не охотник до бессмыслиц . Достаточно сказать , что они предложили мне отказаться от моей смотровой , другими словами , поставили меня в необходимость оперировать вас там , где я до сих пор резал кроликов . В таких условиях я не только не могу , но и не имею права работать . Поэтому я прекращаю деятельность , закрываю квартиру и уезжаю в сочи . Ключи могу передать Швондеру . Пусть он оперирует . Четверо застыли . Снег таял у них на сапогах . - Что же делать ... Мне самому очень неприятно ... Как ? О , нет , петр александрович ! О нет . Больше я так не согласен . Терпение мое лопнуло . Это уже второй случай с августа месяца . Как ? Гм ... Как угодно . Хотя бы . Но только условие : кем угодно , когда угодно , что угодно , но чтобы была такая бумажка , при наличии которой ни Швондер , ни кто другой не мог бы даже подойти к двери моей квартиры . Тщательная бумажка . Фактическая . Настоящая ! Броня . Чтобы имя даже не упоминалось . Кончено . Я для них умер . Да . Пожалуйста . Кем ? Ага ... Ну , это другое дело . Ага ... Сейчас передаю трубку . Будьте любезны , - змеиным голосом обратился Филипп Филиппович к Швондеру , - сейчас с вами будут говорить . - Позвольте , профессор , - сказал Швондер , то вспыхивая , то угасая , - вы извратили наши слова . - Попрошу вас не употреблять таких выражений . Швондер растерянно взял шапку и молвил : - Я слушаю . Да ... Председатель домкома ... Нет , действовали по правилам ... Так у профессора и так совершенно исключительное положение ... Мы знаем об его работе . Целых пять комнат хотели оставить ему ... Ну , хорошо.. Так ... Хорошо ... Совершенно красный , он повесил трубку и повернулся . Как оплевал ! Ну и парень ! - Восхищенно думал пес , - что он , слово , что ли , такое знает ? Ну теперь меня бить - как хотите , а никуда отсюда не уйду . Трое , открыв рты , смотрели на оплеванного Швондера . - Это какой-то позор ! - Не своим голосом вымолвил тот . - Если бы сейчас была дискуссия , - начала женщина , волнуясь и загораясь румянцем , - я бы доказала Петру Александровичу ... - Виноват , вы не сию минуту хотите открыть эту дискуссию ? - Вежливо спросил Филипп Филиппович . Глаза женщины загорелись . - Я понимаю вашу иронию , профессор , мы сейчас уйдем ... Только я , как заведующий культотделом дома ... - За-ве-дующая , - поправил ее Филипп Филиппович . - Хочу предложить вам , - тут женщина из-за пазухи вытащила несколько ярких и мокрых от снега журналов , - взять несколько журналов в пользу детей германии . По полтиннику штука . - Нет , не возьму , - кратко ответил Филипп Филиппович , покосившись на журналы . Совершенное изумление выразилось на лицах , а женщина покрылась клюквенным налетом . - Почему же вы отказываетесь ? - Не хочу . - Вы не сочувствуете детям германии ? - Сочувствую . - Жалеете по полтиннику ? - Нет . - Так почему же ? - Не хочу . Помолчали . - Знаете ли , профессор , - заговорила девушка , тяжело вздохнув , - если бы вы не были европейским светилом , и за вас не заступались бы самым возмутительным образом ( блондин дернул ее за край куртки , но она отмахнулась ) лица , которых , я уверена , мы еще разьясним , вас следовало бы арестовать . - А за что ? - С любопытством спросил Филипп Филиппович . - Вы ненавистник пролетариата ! - Гордо сказала женщина . - Да , я не люблю пролетариата , - печально согласился Филипп Филиппович и нажал кнопку . Где-то прозвенело . Открылась дверь в коридор . - Зина , - крикнул Филипп Филиппович , - подавай обед . Вы позволите , господа ? Четверо молча вышли из кабинета , молча прошли приемную , переднюю и слышно было , как за ними закрылась тяжело и звучно парадная дверь . Пес встал на задние лапы и сотворил перед Филиппом Филипповичем какой-то намаз . На разрисованных райскими цветами тарелках с черной широкой каймой лежала тонкими ломтиками нарезанная семга , маринованные угри . На тяжелой доске кусок сыра со слезой , и в серебряной кадушке , обложенной снегом , - икра . Меж тарелками несколько тоненьких рюмочек и три хрустальных графинчика с разноцветными водками . Все эти предметы помещались на маленьком мраморном столике , уютно присоединившемся к грома резного дуба буфету , изрыгающему пучки стеклянного и серебряного света . Посреди комнаты - тяжелый , как гробница , стол , накрытый белой скатертью , а на ней два прибора , салфетки , свернутые в виде папских тиар , и три темных бутылки . Зина внесла серебряное крытое блюдо , в котором чт чало . Запах от блюда шел такой , что рот пса немедленно наполнился жидкой слюной . `` Сады семирамиды '' ! - Подумал он и застучал по паркету хвостом , как палкой . - Сюда их , - хищно скомандовал Филипп Филиппович . - Доктор Борменталь , умоляю вас , оставьте икру в покое . И если хотите послушаться доброго совета : налейте не английской , а обыкновенной русской водки . Красавец тяпнутый - он был уже без халата в приличном черном костюме - передернул широкими плечами , вежливо ухмыльнулся и налил прозрачной . - Ново-благословенная ? - Осведомился он . - Бог с вами , голубчик , - отозвался хозяин . - Это спирт . Дарья Петровна сама отлично готовит водку . - Не скажите , Филипп Филиппович , все утверждают , что очень приличная - 30 градусов . - А водка должна быть в 40 градусов , а не в 30 , это , во-первых , - а во-вторых , - бог их знает , чего они туда плеснули . Вы можете сказать - что им придет в голову ? - Все , что угодно , - уверенно молвил тяпнутый . - И я того же мнения , - добавил Филипп Филиппович и вышвырнул одним комком содержимое рюмки себе в горло , - ... Мм ... Доктор Борменталь , умоляю вас , мгновенно эту штучку , и если вы скажете , что это ... Я ваш кровный враг на всю жизнь . `` От севильи до гренады ... '' . Сам он с этими словами подцепил на лапчатую серебряную вилку что-то похожее на маленький темный хлебик . Укушенный последовал его примеру . Глаза Филиппа Филипповича засветились . - Это плохо ? - Жуя , спрашивал Филипп Филиппович . - Плохо ? Вы ответьте , уважаемый доктор . - Это бесподобно , - искренно ответил тяпнутый . - Еще бы ... Заметьте , Иван Арнольдович , холодными закусками и супом закусывают только недорезанные большевиками помещики . Мало-мальски уважающий себя человек оперирует закусками горячими . А из горячих московских закусок - это первая . Когда-то их великолепно приготовляли в славянском базаре . На , получай . - Пса в столовой прикармливаете , - раздался женский голос , - а потом его отсюда калачом не выманишь . - Ничего . Бедняга наголодался , - Филипп Филиппович на конце вилки подал псу закуску , принятую тем с фокусной ловкостью , и вилку с грохотом свалил в полоскательницу . Засим от тарелок поднимался пахнущий раками пар ; пес сидел в тени скатерти с видом часового у порохового склада . А Филипп Филиппович , заложив хвост тугой салфетки за воротничок , проповедовал : - Еда , Иван Арнольдович , штука хитрая . Есть нужно уметь , а представьте себе - большинство людей вовсе есть не умеют.Нужно не только знать что с'есть , но и когда и как . ( Филипп Филиппович многозначительно потряс ложкой ) . И что при этом говорить . Да-с . Если вы заботитесь о своем пищеварении , мой добрый совет - не говорите за обедом о большевизме и о медицине . И - боже вас сохрани - не читайте до обеда советских газет . - Гм ... Да ведь других нет . - Вот никаких и не читайте . Вы знаете , я произвел 30 наблюдений у себя в клинике . И что же вы думаете ? Пациенты , не читающие газет , чувствуют себя превосходно . Те же , которых я специально заставлял читать `` правду '' , - теряли в весе . - Гм ... - С интересом отозвался тяпнутый , розовея от супа и вина . - Мало этого . Пониженные коленные рефлексы , скверный аппетит , угнетенное состояние духа . - Вот черт ... - Да-с . Впрочем , что же это я ? Сам же заговорил о медицине . Филипп Филиппович , откинувшись , позвонил , и в вишневой портьере появилась Зина . Псу достался бледный и толстый кусок осетрины , которая ему не понравилась , а непосредственно за этим ломоть окровавленного ростбифа . Слопав его , пес вдруг почувствовал , что он хочет спать , и больше не может видеть никакой еды . `` Странное ощущение , - думал он , захлопывая отяжелевшие веки , - глаза бы мои не смотрели ни на какую пищу . А курить после обеда - это глупость '' . Столовая наполнилась неприятным синим дымом . Пес дремал , уложив голову на передние лапы . - Сен-жюльен - приличное вино , - сквозь сон слышал пес , - но только ведь теперь же его нету . Глухой , смягченный потолками и коврами , хорал донесся откуда-то сверху и сбоку . Филипп Филиппович позвонил и пришла Зина . - Зинуша , что это такое значит ? - Опять общее собрание сделали , Филипп Филиппович , - ответила Зина . - Опять ! - Горестно воскликнул Филипп Филиппович , - ну , теперь стало быть , пошло , пропал калабуховский дом . Придется уезжать , но куда спрашивается . Все будет , как по маслу . Вначале каждый вечер пение , затем в сортирах замерзнут трубы , потом лопнет котел в паровом отоплении и так далее . Крышка Калабухову . - Убивается Филипп Филиппович , - заметила , улыбаясь , Зина и унесла груду тарелок . - Да ведь как не убиваться ? ! - Возопил Филипп Филиппович , - Ведь это какой дом был - вы поймите ! - Вы слишком мрачно смотрите на вещи , Филипп Филиппович , - возразил красавец тяпнутый , - они теперь резко изменились . - Голубчик , вы меня знаете ? Не правда ли ? Я - человек фактов , человек наблюдения . Я - враг необоснованных гипотез . И это очень хорошо известно не только в россии , но и в европе . Если я что-нибудь говорю , значит , в основе лежит некий факт , из которого я делаю вывод . И вот вам факт : вешалка и калошная стойка в нашем доме . - Это интересно ... Ерунда - калоши . Не в калошах счастье , - подумал пес , - но личность выдающаяся . - Не угодно ли - калошная стойка . С 1903года я живу в этом доме . И вот , в течение этого времени до марта 1917 года не Было ни одного случая - подчеркиваю красным карандашом н и о д н о г о - чтобы из нашего парадного внизу при общей незапертой двери пропала хоть одна пара калош . Заметьте , здесь 12 квартир , у меня прием . В марте 17-го года в один прекрасный день пропали все калоши , в том числе две пары моих , 3 палки , пальто и самовар у швейцара . И с тех пор калошная стойка прекратила свое существование . Голубчик ! Я не говорю уже о паровом отоплении . Не говорю . Пусть : раз социальная революция - не нужно топить . Но я спрашиваю : почему , когда началась вся эта история , все стали ходить в грязных калошах и валенках по мраморной лестнице ? Почему калоши нужно до сих пор еще запирать под замок ? И еще приставлять к ним солдата , чтобы кто-либо их не стащил ? Почему убрали ковер с парадной лестницы ? Разве карл маркс запрещает держать на лестнице ковры ? Разве где-нибудь у карла маркса сказано , что 2-й подьезд калабуховского дома на пречистенеке следует забить досками и ходить кругом через черный двор ? Кому это нужно ? Почему пролетарий не может оставить свои калоши внизу , а пачкает мрамор ? - Да у него ведь , Филипп Филиппович , и вовсе нет калош , - заикнулся было тяпнутый . - Ничего похожего ! - Громовым голосом ответил Филипп Филиппович и налил стакан вина . - Гм ... Я не признаю ликеров после обеда : они тяжелят и скверно действуют на печень ... Ничего подобного ! На нем есть теперь калоши и эти к мои ! Это как раз те самые калоши , которые исчезли весной 1917 года . Спрашивается , - ктоих попер ? Я ? Не может быть . Буржуй саблин ? ( Филипп Филиппович ткнул пальцем в потолок ) . Смешно даже предположить . Сахарозаводчик полозов ? ( Филипп Филиппович указал вбок ) . Ни в коем случае ! Да-с ! Но хоть бы они их снимали на лестнице ! ( Филипп Филиппович начал багроветь ) . На какого черта убрали цветы с площадок ? Почему электричество , которое , дай бог памяти , тухло в течение 20-ти лет два раза , в теперешнее время аккуратно гаснет раз в месяц ? Доктор Борменталь , статистика - ужасная вещь . Вам , знакомому с моей последней работой , это известно лучше , чем кому бы то ни было другому . - Разруха , Филипп Филиппович . - Нет , - совершенно уверенно возразил Филипп Филиппович , - нет . Вы первый , дорогой Иван Арнольдович , воздержитесь от употребления самого этого слова . Это - мираж , дым , фикция , - Филипп Филиппович широко растопырил короткие пальцы , отчего две тени , похожие на черепах , заерзали по скатерти . - Что такое эта ваша разруха ? Старуха с клюкой ? Ведьма , которая выбила все стекла , потушила все лампы ? Да ее вовсе и не существует . Что вы подразумеваете под этим словом ? - Яростно спросил Филипп Филиппович у несчастной картонной утки , висящей кверху ногами рядом с буфетом , и сам же ответил за нее . - Это вот что : если я , вместо того , чтобы оперировать каждый вечер , начну у себя в квартире петь хором , у меня настанет разруха . Если я , входя в уборную , начну , извините за выражение , мочиться мимо унитаза и то же самое будут делать зина и Дарья Петровна , в уборной начнется разруха . Следовательно , разруха не в клозетах , а в головах . Значит , когда эти баритоны кричат `` бей разруху ! '' - Я смеюсь . ( Лицо Филиппа Филипповича перекосило так , что тяпнутый открыл рот ) .Клянусь вам , мне смешно ! Это означает , что каждый из них должен лупить себя по затылку ! И вот , когда он вылупит из себя всякие галлюцинации и займется чисткой сараев - прямым своим делом , - разруха исчезнет сама собой . Двум богам служить нельзя ! Невозможно в одно время подметать трамвайные пути и устраивать судьбы каких-то испанских оборванцев ! Это никому не удается , доктор , и тем более - людям , которые , вообще отстав в развитии от европейцев лет на 200 , до сих пор еще не совсем уверенно застегивают свои собственные штаны ! Филипп Филиппович вошел в азарт ."
